coco_url,caption,class,super_categories
http://images.cocodataset.org/val2017/000000004495.jpg,"A television, couch and chair in the corner of a room.",28,"electronic, furniture"
http://images.cocodataset.org/val2017/000000004765.jpg,A man in a yellow shirt and wetsuit surfing.,4,"sports, person"
http://images.cocodataset.org/val2017/000000004795.jpg,A cat sitting in front of a computer monitor.,13,"electronic, animal"
http://images.cocodataset.org/val2017/000000005001.jpg,A group of people holding a large pair of scissors to a ribbon.,29,"vehicle, accessory, person, indoor"
http://images.cocodataset.org/val2017/000000005037.jpg,A bus sitting still on the side of the road. ,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000005060.jpg,A man in green shirt with cellphone reflecting in a mirror.,30,"electronic, person"
http://images.cocodataset.org/val2017/000000005193.jpg,A group of people pose for a picture while a man holds two surfboards. ,31,"kitchen, sports, person"
http://images.cocodataset.org/val2017/000000005477.jpg,A brown LOT airliner sitting on the tarmac,12,vehicle
http://images.cocodataset.org/val2017/000000005503.jpg,A photo of a duvet style toilet shooting water.,14,furniture
http://images.cocodataset.org/val2017/000000005529.jpg,A MAN IS SKIING ON THE SNOW SLOPES,4,"sports, person"
http://images.cocodataset.org/val2017/000000005586.jpg,"Indoor tennis match, with a full crowd of spectators.",4,"sports, person"
http://images.cocodataset.org/val2017/000000005600.jpg,"There are some appealing support ready to expend. 
",32,kitchen
http://images.cocodataset.org/val2017/000000005992.jpg,Group of sheep standing next to a brick building. ,1,animal
http://images.cocodataset.org/val2017/000000006012.jpg,Six bananas and a red fruit make an artistic sight paired with a blue background.,19,food
http://images.cocodataset.org/val2017/000000006040.jpg,A large white and blue train on a train track.,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000006213.jpg,"A bathroom has two sinks, a bathtub, and a shower.",5,appliance
http://images.cocodataset.org/val2017/000000006460.jpg,A man is surfing and a wave is crashing,4,"sports, person"
http://images.cocodataset.org/val2017/000000006471.jpg,A man at bat waiting for a pitch with a catcher and umpire behind him and players from the opposing team in the dugout.,33,"kitchen, outdoor, sports, person"
http://images.cocodataset.org/val2017/000000006614.jpg,a black and white photo of nuts and fruit,19,food
http://images.cocodataset.org/val2017/000000006723.jpg,A street with a row of older red brick building on one side.,12,vehicle
http://images.cocodataset.org/val2017/000000006763.jpg,A man and a women posing next to one another in front of a table.,34,"electronic, accessory, person, furniture"
http://images.cocodataset.org/val2017/000000006771.jpg,A women in costume who is talking on a cell phone. ,30,"electronic, person"
http://images.cocodataset.org/val2017/000000006818.jpg,"a shower room with two buckets, tolet paper holder and soap.",14,furniture
http://images.cocodataset.org/val2017/000000006894.jpg,A man getting a kiss on the neck from an elephant's trunk,35,"person, animal"
http://images.cocodataset.org/val2017/000000006954.jpg,A group of children sitting in the grass with two of them holding a Frisbee .,4,"sports, person"
http://images.cocodataset.org/val2017/000000007088.jpg,A little girl holding an umbrella in the rain. ,36,"vehicle, accessory, person"
http://images.cocodataset.org/val2017/000000007108.jpg,A herd of elephants walking away from a watering hole.,1,animal
http://images.cocodataset.org/val2017/000000007278.jpg,"A man in a wet suit riding a wave on a surf board.
",4,"sports, person"
http://images.cocodataset.org/val2017/000000007281.jpg,two guys horseback riding and playing on the beach.,35,"person, animal"
http://images.cocodataset.org/val2017/000000007386.jpg,A motorcycle frame that has been made in to a tricycle. ,22,"vehicle, animal"
http://images.cocodataset.org/val2017/000000007511.jpg,A man flying a kite with two strings on a beach.,24,"accessory, sports, person"
http://images.cocodataset.org/val2017/000000007574.jpg,"A kitchen with two sinks, a counter, detergent, a stove and a refrigerator in it.",37,"appliance, kitchen, indoor"
http://images.cocodataset.org/val2017/000000007784.jpg,A large orange and white kite flying in a blue sky.,38,sports
http://images.cocodataset.org/val2017/000000007795.jpg,Two beds are in a hotel room type setting.,39,"electronic, furniture, indoor"
http://images.cocodataset.org/val2017/000000007816.jpg,a rider dressed in white riding a matching white motorcycle ,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000007818.jpg,A photo of the table with a vase and flour.,40,"kitchen, furniture, indoor"
http://images.cocodataset.org/val2017/000000007888.jpg,A poll that has a clock on the top of it.,41,indoor
http://images.cocodataset.org/val2017/000000007977.jpg,a boy on a skateboard at a skatepark,4,"sports, person"
http://images.cocodataset.org/val2017/000000007991.jpg,Carrots and small green beans on a white plate. ,10,"kitchen, food"
http://images.cocodataset.org/val2017/000000008021.jpg,People watching an on screen presentation of a gentleman in a suit.,21,"kitchen, accessory, person"
http://images.cocodataset.org/val2017/000000008211.jpg,Two men sitting on the street in front of a building.,42,"vehicle, person, furniture"
http://images.cocodataset.org/val2017/000000008277.jpg,A white plate topped wti chicken and a cup of guacamole.,10,"kitchen, food"
http://images.cocodataset.org/val2017/000000008532.jpg,A man wearing a cat and sunglasses with a red neck tie.,17,"accessory, person"
http://images.cocodataset.org/val2017/000000008629.jpg,Pictures of several different types of quiche prepared differently.,10,"kitchen, food"
http://images.cocodataset.org/val2017/000000008690.jpg,Two girls pet a goat that is in a pen.,35,"person, animal"
http://images.cocodataset.org/val2017/000000008762.jpg,A dusky evening with a green street light shining.,3,"vehicle, outdoor"
http://images.cocodataset.org/val2017/000000008844.jpg,a black woman standing over a bushel of yellow bananas,43,"person, food"
http://images.cocodataset.org/val2017/000000008899.jpg,a red bricked building with a green door and graffiti,3,"vehicle, outdoor"
http://images.cocodataset.org/val2017/000000009378.jpg,A man spins a frisbee as the audience looks on.,4,"sports, person"
http://images.cocodataset.org/val2017/000000009400.jpg,A group of people that are sitting in front of laptops.,44,"kitchen, electronic, person"
http://images.cocodataset.org/val2017/000000009448.jpg,A little girl holds up a big blue umbrella.,17,"accessory, person"
http://images.cocodataset.org/val2017/000000009483.jpg,"A man by desk with mixing equipment, a keyboard and a computer monitor.",30,"electronic, person"
http://images.cocodataset.org/val2017/000000009590.jpg,A group of people sitting around a wooden table.,45,"kitchen, person, furniture, indoor"
http://images.cocodataset.org/val2017/000000009769.jpg,A red pick up truck with a plow blade drives down a snowy suburban road. ,46,"vehicle, outdoor, person"
http://images.cocodataset.org/val2017/000000009772.jpg,A view of a bathroom in what appears to be a hotel.,47,"appliance, electronic, person"
http://images.cocodataset.org/val2017/000000009891.jpg,Two men handling luggage in a parking structure.,36,"vehicle, accessory, person"
http://images.cocodataset.org/val2017/000000009914.jpg,A grilled chicken sandwich sits beside french fries made with real potatoes. ,16,"kitchen, furniture, food"
http://images.cocodataset.org/val2017/000000010092.jpg,Bed covered in mosquito netting in a bedroom with windows on three walls.,48,"furniture, animal"
http://images.cocodataset.org/val2017/000000010363.jpg,Grey color cat standing on hood of car in garage,49,"vehicle, kitchen, animal"
http://images.cocodataset.org/val2017/000000010583.jpg,a plate of meat topped with potatoes veggies and gravy,16,"kitchen, furniture, food"
http://images.cocodataset.org/val2017/000000010707.jpg,A man playing a video game while two men sit on a couch. ,50,"electronic, kitchen, accessory, person, furniture"
http://images.cocodataset.org/val2017/000000010764.jpg,A catches crouches on a patch of dirt.,4,"sports, person"
http://images.cocodataset.org/val2017/000000010977.jpg,A toilet lid is closed next to a bathtub with a white curtain and pink tile wall.,51,"appliance, furniture"
http://images.cocodataset.org/val2017/000000010995.jpg,The bedroom with the bedspread is dimly lit.,14,furniture
http://images.cocodataset.org/val2017/000000011051.jpg,Girl looks back as she fixes flower on boy's suit,17,"accessory, person"
http://images.cocodataset.org/val2017/000000011122.jpg,A red stop sign behind a chain link fence.,52,outdoor
http://images.cocodataset.org/val2017/000000011149.jpg,A man sitting on a motorcycle near several bicycles with a partially visible person standing nearby.,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000011197.jpg,Couple of people standing at an intersection waiting to cross.,15,"vehicle, outdoor, accessory, person"
http://images.cocodataset.org/val2017/000000011511.jpg,A metal statue of two women sitting on a bench.,15,"vehicle, outdoor, accessory, person"
http://images.cocodataset.org/val2017/000000011615.jpg,Four signs are stacked together under two others. ,12,vehicle
http://images.cocodataset.org/val2017/000000011699.jpg,A woman and girl standing with luggage and giving a peace sign.,17,"accessory, person"
http://images.cocodataset.org/val2017/000000011760.jpg,Three zebra standing side by side on a dirt field next to a flowery forest.,1,animal
http://images.cocodataset.org/val2017/000000011813.jpg,a tripod sitting next to  a laptop,28,"electronic, furniture"
http://images.cocodataset.org/val2017/000000012062.jpg,A freshly shorn sheep standing near a pile of wool.,53,"sports, animal"
http://images.cocodataset.org/val2017/000000012120.jpg,Two women playing in a professional tennis match.,54,"sports, person, furniture"
http://images.cocodataset.org/val2017/000000012280.jpg,A lone woman walks across the terminal with her bags.,55,"electronic, accessory, person"
http://images.cocodataset.org/val2017/000000012576.jpg,A grandmother looks at her family's pizza dinner,56,"food, electronic, kitchen, person, furniture"
http://images.cocodataset.org/val2017/000000012639.jpg,A little boy holding a bat standing at home plate.,4,"sports, person"
http://images.cocodataset.org/val2017/000000012667.jpg,A phone with a banana where the receiver should be.,19,food
http://images.cocodataset.org/val2017/000000012670.jpg,A crowd of people standing around each other.,57,"electronic, accessory, person, indoor"
http://images.cocodataset.org/val2017/000000012748.jpg,A man and child next to a horse.,35,"person, animal"
http://images.cocodataset.org/val2017/000000013004.jpg,A white plate topped with a banana and pudding.,58,"furniture, food"
http://images.cocodataset.org/val2017/000000013177.jpg,a man is working on a hub cap on the ground,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000013201.jpg,A man is airborne on a skateboard pointing to the sky behind him.,4,"sports, person"
http://images.cocodataset.org/val2017/000000013291.jpg,A group of people in a field smile holding frisbees.,4,"sports, person"
http://images.cocodataset.org/val2017/000000013348.jpg,a large air plane on a terminal ,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000013546.jpg,A boy riding his skateboard on a ledge in a park.,59,"outdoor, sports, person"
http://images.cocodataset.org/val2017/000000013597.jpg,A piece of chocolate pie sitting on top of a plate.,58,"furniture, food"
http://images.cocodataset.org/val2017/000000013659.jpg,a table with two laptops and chairs ,60,"kitchen, electronic, person, furniture"
http://images.cocodataset.org/val2017/000000013729.jpg,Four people standing in a room playing a video game. ,26,"electronic, kitchen, person, furniture"
http://images.cocodataset.org/val2017/000000013774.jpg,A man standing on top of a river next to the sun and a flying kite.,4,"sports, person"
http://images.cocodataset.org/val2017/000000013923.jpg,"A living room and kitchen areas features red, white, and wooden furniture.",61,"electronic, kitchen, furniture, indoor"
http://images.cocodataset.org/val2017/000000014007.jpg,A brown colored cat is on top of a tall gray cabinet.,62,"appliance, animal"
http://images.cocodataset.org/val2017/000000014038.jpg,A long room with balloons and arrows on the floor.,63,"electronic, indoor, kitchen, appliance, furniture"
http://images.cocodataset.org/val2017/000000014226.jpg,A person is sitting in a chair at a table with a laptop computer.,64,"electronic, person, furniture, food"
http://images.cocodataset.org/val2017/000000014380.jpg,A long bridge with cars has a train going underneath.,12,vehicle
http://images.cocodataset.org/val2017/000000014439.jpg,A woman and a young girl holding a kite on a green field.,65,"sports, accessory, furniture, person"
http://images.cocodataset.org/val2017/000000014473.jpg,a red and black train is coming down the tracks,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000014831.jpg,A brown and white animal laying on top of a bed.,48,"furniture, animal"
http://images.cocodataset.org/val2017/000000014888.jpg,"A cow getting relief as it is being milked.
",1,animal
http://images.cocodataset.org/val2017/000000015079.jpg,a delicious looking sandwich on a plate with a knife,10,"kitchen, food"
http://images.cocodataset.org/val2017/000000015254.jpg,Four plastic containers filled with food on a table.,10,"kitchen, food"
http://images.cocodataset.org/val2017/000000015272.jpg,A red light is a wonderful contrast to the pink leaves on trees,52,outdoor
http://images.cocodataset.org/val2017/000000015278.jpg,Cooked broccoli sitting on a plate with salmon.,19,food
http://images.cocodataset.org/val2017/000000015335.jpg,"A man, woman, and boy are sitting at a table.",26,"electronic, kitchen, person, furniture"
http://images.cocodataset.org/val2017/000000015338.jpg,A yellow bus driving down a street next to a ball building.,12,vehicle
http://images.cocodataset.org/val2017/000000015440.jpg,A stop sign sitting on top of a metal column.,3,"vehicle, outdoor"
http://images.cocodataset.org/val2017/000000015497.jpg,A cat playing with an old computer mouse.,66,"electronic, furniture, animal"
http://images.cocodataset.org/val2017/000000015517.jpg,The view of a metropolitan area behind many buses.,12,vehicle
http://images.cocodataset.org/val2017/000000015597.jpg,a male shirtless skateboarder is doing a trick,67,"vehicle, sports, person"
http://images.cocodataset.org/val2017/000000015660.jpg,A windsurfer watches people kite surfing at the beach,4,"sports, person"
http://images.cocodataset.org/val2017/000000015746.jpg,A fire hydrant in front of a house with overgrown grass,52,outdoor
http://images.cocodataset.org/val2017/000000015751.jpg,A few birds are on the roof of a house.,1,animal
http://images.cocodataset.org/val2017/000000015956.jpg,A woman training her beautiful brown horse. ,68,"person, indoor, animal"
http://images.cocodataset.org/val2017/000000016010.jpg,An outdoor area with many animals inluding a zebra and a rhinoceros.  ,1,animal
http://images.cocodataset.org/val2017/000000016228.jpg,A trolley that is being pulled by a white horse.,69,"animal, vehicle, outdoor, accessory, person"
http://images.cocodataset.org/val2017/000000016249.jpg,Several older men sit and relax on shady benches.,70,"outdoor, accessory, person, furniture"
http://images.cocodataset.org/val2017/000000016439.jpg,A lap top computer is open and on and is sitting on a desk next to a glass of liquid and a lamp.,71,"electronic, kitchen"
http://images.cocodataset.org/val2017/000000016451.jpg,Several items including two surf boards on the beach,72,"sports, accessory, person, furniture"
http://images.cocodataset.org/val2017/000000016502.jpg,A mountain goat stands on top of a rock on a hill.,1,animal
http://images.cocodataset.org/val2017/000000016598.jpg,a woman with blue hair holding her phone up,55,"electronic, accessory, person"
http://images.cocodataset.org/val2017/000000016958.jpg,View of two desks with chairs next to a fireplace in an old style living room.,2,"furniture, indoor"
http://images.cocodataset.org/val2017/000000017029.jpg,a dog jumping to catch a frisbee in a yard,73,"vehicle, sports, animal"
http://images.cocodataset.org/val2017/000000017031.jpg,a giraffe is making a funny face at the camera,1,animal
http://images.cocodataset.org/val2017/000000017115.jpg,A couple of zebra standing next to each other on a field.,1,animal
http://images.cocodataset.org/val2017/000000017178.jpg,horses stand around on a neighborhood street in front of a car,22,"vehicle, animal"
http://images.cocodataset.org/val2017/000000017182.jpg,A desk in a classroom with a blackboard behind it,74,"food, furniture, indoor"
http://images.cocodataset.org/val2017/000000017207.jpg,A passenger bus that is leaning to the right.,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000017379.jpg,A flat screen TV adorns a bathroom mirror.,47,"appliance, electronic, person"
http://images.cocodataset.org/val2017/000000017436.jpg,A man sitting on a bench with a tall building behind him.,75,"outdoor, person"
http://images.cocodataset.org/val2017/000000017627.jpg,A green car has parked on the curb in a parking lot,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000017714.jpg,Food on a train with a pie and some vegetable,16,"kitchen, furniture, food"
http://images.cocodataset.org/val2017/000000017899.jpg,An older woman preparing cookies and bread at a table.,76,"food, kitchen, animal, person, furniture"
http://images.cocodataset.org/val2017/000000017905.jpg,A man standing next to a traffic light in Australia ,75,"outdoor, person"
http://images.cocodataset.org/val2017/000000017959.jpg,many large kites flying in the sky ,6,"sports, accessory, person"
http://images.cocodataset.org/val2017/000000018150.jpg,A young man and a small boy are talking about a piece of pizza. ,77,"food, kitchen, accessory, person, furniture"
http://images.cocodataset.org/val2017/000000018193.jpg,A woman in green sweater eating a hotdog by campfire.,78,"person, furniture, food"
http://images.cocodataset.org/val2017/000000018380.jpg,a large family enjoying a dinner on a large table ,79,"food, indoor, kitchen, person, furniture"
http://images.cocodataset.org/val2017/000000018491.jpg,A boy catches a ball as a player slides to the base.,59,"outdoor, sports, person"
http://images.cocodataset.org/val2017/000000018519.jpg,The man in the helmet is jumping while wearing roller skates. ,80,person
http://images.cocodataset.org/val2017/000000018575.jpg,"A place setting, including a burger, fries, a glass and condiments..",16,"kitchen, furniture, food"
http://images.cocodataset.org/val2017/000000018737.jpg,a motorcycle parked on the road in a desert,12,vehicle
http://images.cocodataset.org/val2017/000000018770.jpg,A man is wearing a black suit and a printed tie,17,"accessory, person"
http://images.cocodataset.org/val2017/000000018833.jpg,A cat that is laying with its head upon a sneaker. ,1,animal
http://images.cocodataset.org/val2017/000000018837.jpg,A large truck on a city street with two works sitting on top and one worker climbing in through door.,9,"vehicle, person"
http://images.cocodataset.org/val2017/000000019042.jpg,a bird is sitting out on some rocks in the water,22,"vehicle, animal"
http://images.cocodataset.org/val2017/000000019109.jpg,Numerous motor scooters parked by backing in facing the street,36,"vehicle, accessory, person"
http://images.cocodataset.org/val2017/000000019221.jpg,A worm sits on top of a piece of broccoli.,43,"person, food"
http://images.cocodataset.org/val2017/000000019402.jpg,"Two youths wearing parka style coats, one eating and the other laughing.",43,"person, food"
http://images.cocodataset.org/val2017/000000019432.jpg,A man playing tennis on a blue tennis court,54,"sports, person, furniture"
http://images.cocodataset.org/val2017/000000019742.jpg,A picture of a cup on the table.,41,indoor
http://images.cocodataset.org/val2017/000000019786.jpg,One person standing and another bending over in the foreground.,81,"electronic, person, furniture"
http://images.cocodataset.org/val2017/000000019924.jpg,"A woman with a hat, tie and striped halter smoking a long cigarette.",17,"accessory, person"
http://images.cocodataset.org/val2017/000000020059.jpg,Two zebras at the zoo eating some grass.,1,animal
http://images.cocodataset.org/val2017/000000020107.jpg,A rusty and old looking fire hydrant sits on the concrete in front of a mural.,52,outdoor
http://images.cocodataset.org/val2017/000000020247.jpg,"Two bears, one running on some rocky soil.",1,animal
http://images.cocodataset.org/val2017/000000020333.jpg,A little boy dipping his hand into water.,21,"kitchen, accessory, person"
http://images.cocodataset.org/val2017/000000020553.jpg,The old stuff animal is on an old couch next to bottles.,82,"kitchen, accessory, furniture, indoor"
http://images.cocodataset.org/val2017/000000020571.jpg,A few fishing boats tied to a dock.,36,"vehicle, accessory, person"
http://images.cocodataset.org/val2017/000000020992.jpg,A woman holding food up to her mouth.,43,"person, food"
http://images.cocodataset.org/val2017/000000021167.jpg,some people standing in a room in formal wear,21,"kitchen, accessory, person"
http://images.cocodataset.org/val2017/000000021465.jpg,A blue shelving unit has a vase and metal cups on it. ,2,"furniture, indoor"
http://images.cocodataset.org/val2017/000000021503.jpg,"Crackers coated with spread, sitting on a plate, ready to eat.",83,"electronic, food"
http://images.cocodataset.org/val2017/000000021604.jpg,A man in a suit is wearing a lit up tie.,17,"accessory, person"
http://images.cocodataset.org/val2017/000000021839.jpg,a person walking across the street with a traffic light above,15,"vehicle, outdoor, accessory, person"
http://images.cocodataset.org/val2017/000000021879.jpg,Young girl on surfboard riding wave with young boys nearby looking on.,4,"sports, person"
http://images.cocodataset.org/val2017/000000021903.jpg,a man handing an elephant a stick in an enclosure at a zoo,35,"person, animal"
http://images.cocodataset.org/val2017/000000022192.jpg,"A dog sitting on a bed covered with clothing, blankets and other items.",84,"accessory, furniture, animal"
http://images.cocodataset.org/val2017/000000022371.jpg,A man contemplating something at a desk with a laptop.,57,"electronic, accessory, person, indoor"
http://images.cocodataset.org/val2017/000000022396.jpg,A commercial plane flying by the perspective of a half moon.,12,vehicle
http://images.cocodataset.org/val2017/000000022479.jpg,A person doing a trick on a skateboard,59,"outdoor, sports, person"
http://images.cocodataset.org/val2017/000000022589.jpg,Two sheep in a pasture behind a wire fence,1,animal
http://images.cocodataset.org/val2017/000000022623.jpg,Some control buttons on an orange and silver electronic device.,11,electronic
http://images.cocodataset.org/val2017/000000022705.jpg,A women holding a drink in front of the refrigerator. ,85,"appliance, kitchen, person"
http://images.cocodataset.org/val2017/000000022755.jpg,a big yellow school bus shown through the rear view of another school bus,12,vehicle
http://images.cocodataset.org/val2017/000000022892.jpg,A cats sits on the table with a dog outside.,48,"furniture, animal"
http://images.cocodataset.org/val2017/000000022935.jpg,A soccer player in uniform runs toward the ball.,4,"sports, person"
http://images.cocodataset.org/val2017/000000022969.jpg,A large giraffe looks at a smaller giraffe looking over a fence.,1,animal
http://images.cocodataset.org/val2017/000000023023.jpg,"Duffel bag, plastic travel bag, and suitcase sit on carpet in front of drapes.",86,accessory
http://images.cocodataset.org/val2017/000000023034.jpg,a man standing on rocks near a man riding horses on a trail in the woods,87,"accessory, person, animal"
http://images.cocodataset.org/val2017/000000023126.jpg,A man is standing on top of two horses that are running.,35,"person, animal"
http://images.cocodataset.org/val2017/000000023230.jpg,A gaggle of geese swim in a body of water. ,1,animal
http://images.cocodataset.org/val2017/000000023272.jpg,A calico cat sits on  the hood of a black car.,22,"vehicle, animal"
http://images.cocodataset.org/val2017/000000023359.jpg,A young man is snowboarding on top of some snow. ,4,"sports, person"
http://images.cocodataset.org/val2017/000000023666.jpg,a bath tub with a toilet beside it,14,furniture
http://images.cocodataset.org/val2017/000000023751.jpg,A statue of a boy is holding a kite in his hand and standing next to a girl statue.,38,sports
http://images.cocodataset.org/val2017/000000023781.jpg,a variety of different vegetables and some strawberries,19,food
http://images.cocodataset.org/val2017/000000023899.jpg,A group of men playing a game with remote controllers.,81,"electronic, person, furniture"
http://images.cocodataset.org/val2017/000000023937.jpg,Several cows sitting out in the grass of a green pasture.,1,animal
http://images.cocodataset.org/val2017/000000024021.jpg,A class picture of the Goodmayes Boys' School in April of 1929.,17,"accessory, person"
http://images.cocodataset.org/val2017/000000024027.jpg,A kite flying over a city park on a windy day.,4,"sports, person"
http://images.cocodataset.org/val2017/000000024144.jpg,A pizza sitting on top of a pizza box covered in cheese.,19,food
http://images.cocodataset.org/val2017/000000024243.jpg,"Two ladies seated with cups of drinks, one smoking while the other seated inside a fridge",85,"appliance, kitchen, person"
http://images.cocodataset.org/val2017/000000024567.jpg,There is a man looking at a lot if hot dogs in a bun in a pan,78,"person, furniture, food"
http://images.cocodataset.org/val2017/000000024610.jpg,A simple room with minimal decor and furniture. ,88,"electronic, indoor, kitchen, accessory, furniture"
http://images.cocodataset.org/val2017/000000024919.jpg,A couple of elephants standing in the grass.,1,animal
http://images.cocodataset.org/val2017/000000025057.jpg,A man without a shirt in a park holding a beer and a frisbee. ,31,"kitchen, sports, person"
http://images.cocodataset.org/val2017/000000025096.jpg,A boy cutting a cake in the shape of a skateboard.,89,"sports, kitchen, animal, person, furniture"
http://images.cocodataset.org/val2017/000000025139.jpg,A zebra putting its face up close to a fence rail.,1,animal
http://images.cocodataset.org/val2017/000000025181.jpg,A train pulling into a station beside a platform.,15,"vehicle, outdoor, accessory, person"
http://images.cocodataset.org/val2017/000000025228.jpg,A woman looks to her right while straddling a surfboard in the ocean.,4,"sports, person"
http://images.cocodataset.org/val2017/000000025386.jpg,The man is using chopsticks to eat his meal.,78,"person, furniture, food"
http://images.cocodataset.org/val2017/000000025393.jpg,Two men standing on the street wearing a suit and tie,36,"vehicle, accessory, person"
http://images.cocodataset.org/val2017/000000025394.jpg,A bartender opens a wine bottle with a towel. ,90,"kitchen, person"
http://images.cocodataset.org/val2017/000000025424.jpg,A male tennis player swinging at a tennis ball.,4,"sports, person"
http://images.cocodataset.org/val2017/000000025560.jpg,A cat is standing on top of a shelf and staring down.,91,"kitchen, electronic, person, animal"
